PERSON,Time,Activity,Pain,Gain
6210422006,6:40,ตื่นนอน,ง่วงงัวเงียง้วนง้วน,ได้เริ่มวันใหม่
6210422006,6:41,เล่นโทรศัพท์ Check E-Mail/Line/Teams,เจอความเครียดจากงานแต่เช้า,มีเวลาเตรียมตัวทำงาน / Organize&Priorities งาน
6210422006,6:45,แปรงฟัน,ใช้เวลา บางทีรีบแปรงโดนเหงือก,ปากสะอาด สดชื้น
6210422006,6:50,อาบน้ำ,สบู่/ยาสระผมหมด แล้วขี้เกียจออกมาเอาใหม่,ร่างกายสะอาด
6210422006,7:00,แต่งตัว/ทาครีมบำรุง,ครีมหลายชั้นใช้เวลา เครื่องแต่งกายใช้เวลา,ผิวดี ปากไม่แห้ง แต่งตัวดูภูมิฐาน
6210422006,7:10,ขับรถออกจากบ้าน,รถติด,ฟัง Podcast/เพลง + มีเวลาคิดงาน
6210422006,7:30,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),บางครั้งมีเสียงไมค์ตีกัน,รู้เรื่องสำคัญ ในวัน ได้ตัดสินใจแนวทางทำงานในวันของทีม
6210422006,8:30,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),Session ที่ไม่ใช่ของตัวเองมีเยอะ,รู้เรื่องสำคัญ ในวัน ได้ประสานงานแนวทางทำงานในวันของทีม ระหว่างหน่วยงาน
6210422006,9:00,ไปซื้อข้าวเช้า และกินข้าวเช้า,ขี้เกียจไปซื้อ บางครั้งเจอนาย,อิ่มท้อง
6210422006,9:30,agile meeting กับ top 3 project,ประชุมบ่อยเกินไป (ทุกวัน) ไม่ค่อยมีไรอัพเดท,ได้รู้สเตตัสของโปรเจคในภาพรวม
6210422006,10:00,เริ่ม Focus งาน,ชอบมีสายเข้ามา กวน,ได้ความคืบหน้าของงาน
6210422006,12:00,ออกไปกินข้าว,ขับรถออกไปกิน เปลืองน้ำมัน + แดดร้อน,กับข้าวอร่อยกว่าโรงอาหาร
6210422006,13:00,ไปร้านชาไข่มุก,อ้วน,อร่อย มีความสุข
6210422006,13:30,กลับเข้ามาทำงาน,เริ่มง่วง (กินเยอะ),ได้ความคืบหน้าของงาน
6210422006,14:00,จังหวะปวดฉี่,ขี้เกียจเดินไปห้องน้ำ,โล่ง
6210422006,14:05,ทำงานต่อ,-,ได้ความคืบหน้าของงาน
6210422006,14:30,เปิด Streaming ดูหุ้นไทย,เสียสมาธิในการทำงาน,ได้ดูความเป็นไปของตลาดหุ้น
6210422006,14:35,ทำงานต่อ,-,ได้ความคืบหน้าของงาน
6210422006,16:30,ขับรถออกจากที่ทำงาน,รถติด,ฟัง Podcast/เพลง
